id,Z-0_MD_AA,Z-1_MD_AA,Z-2_MD_AA,Z-3_MD_AA,Z-4_MD_AA,Z-5_MD_AA,Z-6_MD_AA,I-0_MD_AA,I-1_MD_AA,I-2_MD_AA,I-3_MD_AA,I-4_MD_AA,I-5_MD_AA,I-6_MD_AA,T-0_MD_AA,T-1_MD_AA,T-2_MD_AA,T-3_MD_AA,T-4_MD_AA,T-5_MD_AA,T-6_MD_AA,S-0_MD_AA,S-1_MD_AA,S-2_MD_AA,S-3_MD_AA,S-4_MD_AA,S-5_MD_AA,S-6_MD_AA,chi-0_MD_AA,chi-1_MD_AA,chi-2_MD_AA,chi-3_MD_AA,chi-4_MD_AA,chi-5_MD_AA,chi-6_MD_AA
ir_tbp_1_dft-py_1_dft-py_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,0.0,423.0,577.0,733.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,30.0,42.0,20.0,0.0,0.0,0.0,4.14,6.3,8.97,4.4,0.0,0.0,0.0,-3.57,-2.59,-2.64,0.0,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-sime_1_dft-hicn_1_dft-cch_1_smi1_1_s_1,0.0,275.0,494.0,1120.0,760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,33.0,30.0,0.0,0.0,0.0,2.38,4.82,14.82,11.0,0.0,0.0,0.0,-1.04,-3.92,-1.4,0.0,0.0,0.0
ir_tbp_1_dft-pet3_1_dft-py_1_dft-hicn_1_chloride_1_smi1_1_s_1,0.0,263.0,425.0,1039.0,907.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,29.0,34.0,3.0,0.0,0.0,2.11,4.1,13.3,12.78,1.1,0.0,0.0,-2.14,-2.59,-1.75,-0.35,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-py_1_dft-co_1_chloride_1_smi1_1_s_1,0.0,314.0,355.0,978.0,223.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,48.0,10.0,4.0,0.0,0.0,2.74,3.4,13.46,2.88,1.1,0.0,0.0,-3.37,-1.75,-0.7,-0.35,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-iz_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,0.0,273.0,496.0,1109.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,38.0,15.0,0.0,0.0,0.0,2.42,4.78,14.52,5.5,0.0,0.0,0.0,-2.02,-2.94,-1.92,0.0,0.0,0.0
ir_tbp_1_dft-pet3_1_dft-phos_1_dft-co_1_bromide_1_smi1_1_s_1,0.0,237.0,424.0,963.0,907.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,26.0,34.0,3.0,0.0,0.0,1.57,4.15,12.2,12.78,1.1,0.0,0.0,-1.09,-2.99,-1.75,-0.35,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-iz_1_dft-iacn_1_bromide_1_smi1_1_s_1,0.0,395.0,506.0,586.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,26.0,32.0,25.0,0.0,0.0,0.0,3.65,5.62,7.16,5.5,0.0,0.0,0.0,-3.49,-2.24,-2.38,0.0,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-phos_1_dft-hicn_1_dft-oh_1_smi1_1_s_1,0.0,246.0,501.0,1054.0,223.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,38.0,7.0,3.0,0.0,0.0,1.99,5.2,14.56,2.88,1.1,0.0,0.0,-1.56,-2.59,-0.7,-0.35,0.0,0.0
ir_tbp_1_dft-pet3_1_dft-pme3_1_dft-co_1_dft-no2_1_smi1_1_s_1,0.0,403.0,495.0,1353.0,684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,17.0,81.0,45.0,0.0,0.0,0.0,3.56,4.83,18.54,9.9,0.0,0.0,0.0,-3.65,-3.34,-1.05,0.0,0.0,0.0
ir_tbp_1_dft-ime_1_dft-nme3_1_dft-co_1_dft-icn_1_smi1_1_s_1,0.0,282.0,493.0,1037.0,608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,32.0,24.0,0.0,0.0,0.0,2.76,4.87,13.37,8.8,0.0,0.0,0.0,-2.38,-4.32,-2.64,0.0,0.0,0.0
