id,Z-0_MS_AB,Z-1_MS_AB,Z-2_MS_AB,Z-3_MS_AB,Z-4_MS_AB,Z-5_MS_AB,Z-6_MS_AB,I-0_MS_AB,I-1_MS_AB,I-2_MS_AB,I-3_MS_AB,I-4_MS_AB,I-5_MS_AB,I-6_MS_AB,T-0_MS_AB,T-1_MS_AB,T-2_MS_AB,T-3_MS_AB,T-4_MS_AB,T-5_MS_AB,T-6_MS_AB,S-0_MS_AB,S-1_MS_AB,S-2_MS_AB,S-3_MS_AB,S-4_MS_AB,S-5_MS_AB,S-6_MS_AB,chi-0_MS_AB,chi-1_MS_AB,chi-2_MS_AB,chi-3_MS_AB,chi-4_MS_AB,chi-5_MS_AB,chi-6_MS_AB
ir_tbp_1_dft-asme3_1_dft-py_1_dft-iacn_1_dft-no2_1_smi1_1_s_1,1412.4,1880.3,3280.4,1639.3,234.1,0.0,0.0,44.4,56.3,88.4,43.3,6.1,0.0,0.0,134.4,176.3,298.4,148.3,21.1,0.0,0.0,51.801,66.138,105.596,51.949,7.331,0.0,0.0,66.021,85.098,138.776,68.539,9.701,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-pyz_1_dft-hicn_1_bromide_1_smi1_1_s_1,1412.4,2112.7,2109.9,936.9,0.0,0.0,0.0,44.4,60.7,57.9,24.9,0.0,0.0,0.0,134.4,195.7,192.9,84.9,0.0,0.0,0.0,51.824,71.733,68.978,29.813,0.0,0.0,0.0,66.044,93.063,90.308,39.293,0.0,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-iz_1_dft-hicn_1_dft-cn_1_smi1_1_s_1,940.4,1646.0,3278.9,702.5,0.0,0.0,0.0,28.4,50.0,86.9,18.5,0.0,0.0,0.0,64.4,113.0,212.9,45.5,0.0,0.0,0.0,33.338,58.618,104.134,22.186,0.0,0.0,0.0,42.818,75.208,137.314,29.296,0.0,0.0,0.0
ir_tbp_1_dft-ime_1_dft-iz_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,940.0,1410.9,2344.8,2810.7,0.0,0.0,0.0,28.0,42.9,64.8,74.7,0.0,0.0,0.0,64.0,96.9,154.8,182.7,0.0,0.0,0.0,32.943,50.303,77.146,89.457,0.0,0.0,0.0,42.423,64.523,100.846,117.897,0.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-pme3_1_dft-hicn_1_dft-sh_1_smi1_1_s_1,940.7,1643.8,3279.0,936.9,0.0,0.0,0.0,28.7,47.8,87.0,24.9,0.0,0.0,0.0,64.7,110.8,213.0,60.9,0.0,0.0,0.0,33.573,56.453,104.214,29.813,0.0,0.0,0.0,43.053,73.043,137.394,39.293,0.0,0.0,0.0
ir_tbp_1_dft-iz_1_dft-sime_1_dft-co_1_dft-sh_1_smi1_1_s_1,940.4,1408.0,1875.7,3278.1,0.0,0.0,0.0,28.4,40.0,51.7,86.1,0.0,0.0,0.0,64.4,94.0,123.7,212.1,0.0,0.0,0.0,33.334,47.368,61.589,103.368,0.0,0.0,0.0,42.814,61.588,80.549,136.548,0.0,0.0,0.0
ir_tbp_1_dft-pet3_1_dft-pet3_1_dft-co_1_dft-itcn_1_smi1_1_s_1,940.6,1880.5,4452.1,4214.0,0.0,0.0,0.0,28.6,56.5,120.1,110.0,0.0,0.0,0.0,64.6,128.5,291.1,272.0,0.0,0.0,0.0,33.503,66.369,143.5,132.093,0.0,0.0,0.0,42.983,85.329,188.53,174.753,0.0,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,940.7,1409.8,3279.3,1404.8,0.0,0.0,0.0,28.7,41.8,87.3,36.8,0.0,0.0,0.0,64.7,95.8,213.3,90.8,0.0,0.0,0.0,33.667,49.202,104.542,44.213,0.0,0.0,0.0,43.147,63.422,137.722,58.433,0.0,0.0,0.0
ir_tbp_1_dft-pet3_1_dft-pph3_1_dft-iacn_1_chloride_1_smi1_1_s_1,941.0,1645.3,3749.1,5625.3,2816.0,702.3,0.0,29.0,49.3,101.1,153.3,80.0,18.3,0.0,65.0,112.3,245.1,369.3,188.0,45.3,0.0,33.872,57.957,120.824,182.862,94.794,21.993,0.0,43.352,74.547,158.744,239.742,123.234,29.103,0.0
ir_tbp_1_dft-pyz_1_dft-py_1_dft-co_1_chloride_1_smi1_1_s_1,1176.3,1643.1,1876.9,1405.4,234.1,0.0,0.0,36.3,47.1,52.9,37.4,6.1,0.0,0.0,96.3,131.1,148.9,109.4,18.1,0.0,0.0,42.466,55.73,62.775,44.83,7.33,0.0,0.0,54.316,72.32,81.735,59.05,9.7,0.0,0.0
ir_tbp_1_dft-pet3_1_dft-iz_1_dft-co_1_dft-cch_1_smi1_1_s_1,940.3,1645.7,3280.3,2809.5,0.0,0.0,0.0,28.3,49.7,88.3,73.5,0.0,0.0,0.0,64.3,112.7,214.3,181.5,0.0,0.0,0.0,33.259,58.337,105.488,88.235,0.0,0.0,0.0,42.739,74.927,138.668,116.675,0.0,0.0,0.0
ir_tbp_1_dft-iz_1_dft-iz_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,940.0,1409.9,2345.9,2107.3,0.0,0.0,0.0,28.0,41.9,65.9,55.3,0.0,0.0,0.0,64.0,95.9,155.9,136.3,0.0,0.0,0.0,32.92,49.259,78.2,66.393,0.0,0.0,0.0,42.4,63.479,101.9,87.723,0.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-pph3_1_dft-co_1_chloride_1_smi1_1_s_1,940.6,1409.4,2344.5,3752.9,2814.0,702.3,0.0,28.6,41.4,64.5,104.9,78.0,18.3,0.0,64.6,95.4,154.5,248.9,186.0,45.3,0.0,33.563,48.812,76.765,124.594,92.79,21.993,0.0,43.043,63.032,100.465,162.514,121.23,29.103,0.0
