id,Z-0_FS_AB,Z-1_FS_AB,Z-2_FS_AB,Z-3_FS_AB,Z-4_FS_AB,Z-5_FS_AB,Z-6_FS_AB,I-0_FS_AB,I-1_FS_AB,I-2_FS_AB,I-3_FS_AB,I-4_FS_AB,I-5_FS_AB,I-6_FS_AB,T-0_FS_AB,T-1_FS_AB,T-2_FS_AB,T-3_FS_AB,T-4_FS_AB,T-5_FS_AB,T-6_FS_AB,S-0_FS_AB,S-1_FS_AB,S-2_FS_AB,S-3_FS_AB,S-4_FS_AB,S-5_FS_AB,S-6_FS_AB,chi-0_FS_AB,chi-1_FS_AB,chi-2_FS_AB,chi-3_FS_AB,chi-4_FS_AB,chi-5_FS_AB,chi-6_FS_AB
ir_tbp_1_dft-oxaz_1_dft-py_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,2316.6,3808.9,5108.2,4801.7,2888.4,2241.6,1265.9,435.6,781.9,1058.2,1177.7,1196.4,1062.6,779.9,795.6,1312.9,1739.2,1831.7,1784.4,1515.6,977.9,373.807,657.03,889.608,969.814,958.95,815.954,557.642,739.657,1325.01,1766.778,1949.554,1996.89,1756.544,1277.372
ir_tbp_1_dft-ime_1_dft-nme3_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,2671.0,4155.0,6349.8,6405.4,3703.8,2449.2,1050.0,484.0,927.0,1204.8,1923.4,1597.8,1282.2,1050.0,922.0,1563.0,2194.8,2874.4,2341.8,1852.2,1050.0,411.832,762.336,1021.797,1521.163,1251.203,963.416,698.147,835.582,1599.096,2060.397,3259.573,2710.373,2095.226,1662.047
ir_tbp_1_dft-asme3_1_dft-oxaz_1_dft-hicn_1_chloride_1_smi1_1_s_1,2215.9,3979.2,5883.1,4026.0,2240.3,1408.0,308.7,364.9,673.2,903.1,1203.0,797.3,859.0,308.7,670.9,1093.2,1506.1,1578.0,1235.3,1069.0,308.7,314.514,567.434,770.49,943.778,642.992,611.416,205.231,615.474,1115.804,1496.64,1992.878,1331.582,1420.546,488.731
ir_tbp_1_dft-nme3_1_dft-oxaz_1_dft-co_1_dft-itcn_1_smi1_1_s_1,1965.3,3251.8,5645.5,3517.9,2694.8,2144.4,446.9,378.3,677.8,929.5,1279.9,996.8,911.4,311.9,690.3,1115.8,1568.5,1744.9,1455.8,1121.4,311.9,321.645,554.476,783.825,994.135,805.454,687.813,215.054,650.445,1162.426,1564.245,2146.285,1692.524,1513.593,495.314
ir_tbp_1_dft-pme3_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,2065.6,3370.1,5492.5,4294.5,2461.5,1879.7,932.8,388.6,694.1,887.5,1180.5,856.5,940.7,788.8,706.6,1108.1,1475.5,1585.5,1324.5,1384.7,851.8,332.468,579.016,757.88,933.834,699.19,709.128,535.041,655.868,1149.106,1469.81,1955.454,1437.79,1555.578,1263.501
ir_tbp_1_dft-phos_1_dft-sime_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,2324.4,3635.6,5017.0,7164.4,4106.7,3357.0,2464.8,494.4,860.6,1114.0,1326.4,1484.7,1416.0,1252.8,890.4,1382.6,1828.0,2079.4,2171.7,2061.0,1852.8,420.85,710.103,933.126,1100.441,1199.528,1121.44,947.621,834.7,1440.003,1853.406,2183.831,2451.128,2381.53,2048.261
ir_tbp_1_dft-ime_1_dft-iz_1_dft-co_1_chloride_1_smi1_1_s_1,2258.7,3119.4,4205.9,5421.9,2893.7,1422.9,1034.6,392.7,695.4,848.9,1023.9,1045.7,672.9,557.6,716.7,1139.4,1424.9,1629.9,1465.7,984.9,755.6,338.883,583.803,717.48,857.178,836.234,517.483,412.727,678.633,1203.093,1456.17,1734.018,1790.294,1112.383,919.157
ir_tbp_1_dft-asme3_1_dft-oxaz_1_dft-co_1_dft-oh_1_smi1_1_s_1,2192.0,4110.7,5651.9,3624.0,2251.9,1239.1,278.0,362.0,669.7,923.9,1230.0,886.9,717.1,278.0,668.0,1101.7,1544.9,1659.0,1261.9,906.1,278.0,310.159,562.627,777.894,943.884,685.964,514.367,184.87,615.739,1115.017,1544.004,2062.884,1504.784,1194.677,440.02
ir_tbp_1_dft-pyz_1_dft-py_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,2259.1,3646.7,4868.1,4100.9,2784.6,1922.8,926.6,402.1,673.7,995.1,1109.9,1014.6,821.8,455.6,708.1,1162.7,1643.1,1670.9,1464.6,1112.8,569.6,350.171,582.831,844.218,915.436,824.13,646.858,342.326,685.661,1145.511,1684.488,1860.856,1709.79,1383.208,763.946
ir_tbp_1_dft-pyz_1_dft-pyz_1_dft-co_1_chloride_1_smi1_1_s_1,2400.4,4129.4,4853.8,3605.2,1827.6,843.9,283.5,363.4,703.4,1028.8,1007.2,705.6,375.9,151.5,687.4,1261.4,1694.8,1475.2,963.6,495.9,187.5,321.864,619.081,879.182,829.12,562.712,289.805,111.614,618.984,1199.431,1758.242,1694.86,1199.432,636.545,252.134
ir_tbp_1_dft-pyz_1_dft-iz_1_dft-co_1_dft-no2_1_smi1_1_s_1,2705.8,4332.5,4807.8,4047.0,2165.0,971.0,366.6,392.8,783.5,1066.8,1119.0,851.0,452.0,201.6,758.8,1416.5,1795.8,1710.0,1208.0,596.0,252.6,348.137,683.679,904.373,922.451,680.849,346.673,147.647,680.687,1371.639,1854.053,1920.281,1464.809,758.033,334.637
ir_tbp_1_dft-pph3_1_dft-pme3_1_dft-co_1_dft-oh_1_smi1_1_s_1,3036.2,5408.7,8599.2,8989.1,9709.5,8717.5,6765.3,705.2,1223.7,1870.2,2452.1,2626.5,3200.5,3444.3,1257.2,2069.7,3154.2,3730.1,4183.5,4973.5,4731.3,601.862,1038.505,1579.364,1987.363,2167.356,2572.055,2609.664,1176.272,1998.025,3074.234,4033.843,4383.426,5317.595,5613.234
ir_tbp_1_dft-ime_1_dft-oxaz_1_dft-hicn_1_bromide_1_smi1_1_s_1,2106.1,3194.7,4909.5,5953.1,3557.6,2050.9,1295.8,402.1,704.7,877.5,1036.1,1040.6,916.9,791.8,726.1,1136.7,1444.5,1582.1,1502.6,1363.9,989.8,342.743,582.614,741.384,866.254,842.738,709.05,564.865,694.253,1213.664,1493.694,1738.594,1771.868,1541.43,1304.575
ir_tbp_1_dft-pme3_1_dft-sime_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,2822.4,4636.5,6689.0,7148.4,4365.3,2717.4,1286.5,509.4,1006.5,1328.0,2060.4,1809.3,1424.4,1286.5,983.4,1696.5,2396.0,3107.4,2637.3,2114.4,1286.5,435.872,837.082,1120.573,1627.137,1419.847,1074.182,851.777,867.362,1693.282,2244.883,3465.117,3036.067,2320.772,2042.477
ir_tbp_1_dft-pph3_1_dft-phos_1_dft-hicn_1_dft-sh_1_smi1_1_s_1,3113.9,5174.7,7843.7,9594.1,10256.9,8890.0,6793.5,716.9,1178.7,1816.7,2118.1,2519.9,3112.0,3133.5,1238.9,1994.7,2980.7,3354.1,4031.9,4738.0,4456.5,618.839,1018.303,1544.081,1788.125,2133.637,2543.646,2449.311,1187.399,1920.853,2959.721,3434.885,4131.637,5101.566,5093.901
ir_tbp_1_dft-pph3_1_dft-asme3_1_dft-hicn_1_bromide_1_smi1_1_s_1,3333.3,6094.3,9491.0,10610.2,11211.2,10368.8,7228.1,711.3,1234.3,1859.0,2423.2,2553.2,3267.8,3493.1,1263.3,2068.3,3119.0,3647.2,4128.2,5040.8,4825.1,611.321,1056.331,1587.097,2001.357,2157.281,2652.428,2663.736,1178.411,2003.731,3033.787,3939.327,4209.641,5374.388,5657.136
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-hicn_1_chloride_1_smi1_1_s_1,2110.3,3832.2,6978.5,4121.9,2258.6,1207.9,0.0,388.3,736.2,1020.5,1631.9,1034.6,1207.9,0.0,724.3,1192.2,1776.5,2099.9,1628.6,1207.9,0.0,332.873,617.506,880.874,1256.436,808.833,797.99,0.0,639.323,1172.956,1658.144,2652.426,1704.513,1920.65,0.0
ir_tbp_1_dft-pyz_1_dft-py_1_dft-co_1_dft-icn_1_smi1_1_s_1,2231.9,3620.3,4639.0,3999.3,2652.8,1742.3,853.0,389.9,659.3,982.0,1056.3,930.8,707.3,394.0,689.9,1142.3,1606.0,1572.3,1326.8,959.3,499.0,340.791,571.224,831.349,872.496,759.571,562.608,300.007,664.971,1124.124,1668.979,1778.256,1584.721,1201.638,666.487
ir_tbp_1_dft-pet3_1_dft-asme3_1_dft-co_1_dft-oh_1_smi1_1_s_1,2595.9,5112.4,7818.7,7251.3,5061.2,2911.2,989.5,498.9,963.4,1386.7,2037.3,2190.2,1912.2,989.5,942.9,1593.4,2328.7,3063.3,3108.2,2398.2,989.5,421.36,795.787,1155.207,1604.762,1655.315,1356.281,654.161,830.41,1550.917,2252.667,3357.572,3622.085,3103.991,1572.701
ir_tbp_1_dft-pph3_1_dft-pph3_1_dft-co_1_dft-cch_1_smi1_1_s_1,4026.7,6891.5,10770.7,14513.5,17368.1,16655.8,15173.4,1047.7,1740.5,2730.7,3308.5,4243.1,5765.8,6407.4,1821.7,2970.5,4536.7,5366.5,6997.1,9023.8,9557.4,896.739,1489.146,2306.716,2794.283,3610.182,4762.345,5119.479,1739.649,2850.996,4467.796,5391.113,6994.152,9503.905,10534.779
ir_tbp_1_dft-phos_1_dft-py_1_dft-hicn_1_chloride_1_smi1_1_s_1,2026.5,2973.5,4456.6,4191.6,2650.8,1635.6,1013.5,370.5,591.5,850.6,873.6,736.8,675.6,527.5,634.5,975.5,1348.6,1257.6,1078.8,969.6,713.5,323.091,513.209,724.558,728.64,614.199,537.231,397.949,621.111,983.069,1409.638,1436.61,1234.239,1117.401,859.229
ir_tbp_1_dft-pyz_1_dft-asme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,2324.3,4067.6,5805.3,4920.0,3058.1,2051.6,1247.3,404.3,713.6,927.3,1239.0,928.1,1007.6,917.3,728.3,1127.6,1545.3,1680.0,1417.1,1493.6,1019.3,348.07,601.194,797.129,987.282,762.067,769.878,635.569,679.3,1177.524,1537.829,2044.902,1550.707,1652.358,1485.829
ir_tbp_1_dft-pyz_1_dft-phos_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,2097.0,3172.1,4685.5,4337.4,2876.4,2308.8,1454.8,387.0,592.1,854.5,941.4,923.4,856.8,593.8,651.0,976.1,1376.5,1400.4,1349.4,1192.8,761.8,339.075,516.296,735.026,792.177,769.814,695.37,461.025,652.095,991.136,1423.286,1551.507,1542.074,1418.76,978.015
ir_tbp_1_dft-phos_1_dft-py_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,2095.7,3195.2,4734.1,4327.8,2991.1,2198.0,1363.3,400.7,621.2,909.1,988.8,939.1,899.0,649.3,676.7,1029.2,1455.1,1456.8,1383.1,1259.0,853.3,348.798,538.635,774.661,822.831,778.969,719.634,495.958,673.638,1033.365,1505.491,1632.891,1573.429,1503.474,1079.818
ir_tbp_1_dft-pme3_1_dft-asme3_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,2518.6,4872.5,7621.5,5508.9,4040.7,3208.1,836.0,457.6,843.5,1126.5,1818.9,1535.7,1753.1,701.0,841.6,1341.5,1960.5,2496.9,2369.7,2095.1,701.0,392.886,706.044,973.35,1419.611,1240.46,1270.234,471.708,754.026,1349.724,1821.36,2949.551,2509.01,2817.574,1114.848
ir_tbp_1_dft-pet3_1_dft-asme3_1_dft-co_1_fluoride_1_smi1_1_s_1,2830.8,5173.9,7867.5,7613.8,4650.8,2558.3,989.5,502.8,1003.9,1414.5,2159.8,1986.8,1748.3,989.5,970.8,1669.9,2440.5,3185.8,2877.8,2234.3,989.5,428.33,831.974,1179.414,1697.052,1510.797,1238.765,654.123,835.97,1631.774,2319.084,3604.602,3267.057,2809.355,1572.663
ir_tbp_1_dft-pph3_1_dft-ime_1_dft-co_1_dft-sh_1_smi1_1_s_1,3142.5,5191.5,7624.1,10910.5,10658.3,9148.4,7455.4,748.5,1264.5,1858.1,2276.5,2777.3,3361.4,3216.4,1318.5,2122.5,3094.1,3665.5,4421.3,5044.4,4800.4,639.471,1069.072,1567.079,1914.053,2325.236,2707.181,2533.327,1256.511,2098.762,3076.049,3746.603,4602.056,5600.771,5335.567
ir_tbp_1_dft-iz_1_dft-py_1_dft-iacn_1_dft-icn_1_smi1_1_s_1,2314.6,3743.4,4821.8,4765.9,2911.5,2301.1,1380.3,424.6,731.4,1002.8,1105.9,1126.5,996.1,723.3,760.6,1238.4,1644.8,1720.9,1678.5,1410.1,921.3,366.892,622.183,846.296,920.151,914.52,780.96,534.251,726.172,1245.733,1688.276,1855.881,1913.76,1670.07,1207.541
ir_tbp_1_dft-asme3_1_dft-oxaz_1_dft-co_1_dft-no2_1_smi1_1_s_1,2795.1,5029.7,6396.3,4749.2,2521.3,1239.4,278.0,413.1,823.7,1113.3,1641.2,1003.3,717.4,278.0,797.1,1405.7,1974.3,2280.2,1417.3,906.4,278.0,361.174,704.197,950.904,1282.649,790.775,516.678,184.854,703.474,1394.137,1878.684,2781.569,1680.725,1191.318,440.004
ir_tbp_1_dft-pyz_1_dft-ime_1_dft-iacn_1_dft-oh_1_smi1_1_s_1,2165.5,3279.8,4511.2,6289.7,3198.8,2719.5,2139.1,452.5,756.8,938.2,1132.7,1293.8,1231.5,1074.1,800.5,1200.8,1550.2,1804.7,1914.8,1792.5,1560.1,382.601,622.289,787.667,942.018,1022.284,949.402,814.259,781.451,1298.519,1604.747,1909.308,2217.574,2065.942,1759.769
ir_tbp_1_dft-pph3_1_dft-ime_1_dft-co_1_fluoride_1_smi1_1_s_1,3323.9,5092.8,7551.1,10873.4,10471.1,8381.8,6965.2,746.9,1297.8,1860.1,2296.4,2860.1,3080.8,3023.2,1340.9,2185.8,3135.1,3784.4,4510.1,4754.8,4589.2,638.577,1093.159,1561.769,1923.966,2361.463,2480.967,2378.438,1261.707,2181.259,3120.329,3836.496,4849.303,5186.367,5021.108
ir_tbp_1_dft-asme3_1_dft-oxaz_1_dft-iacn_1_fluoride_1_smi1_1_s_1,2288.6,4049.5,5839.8,4428.7,2777.9,2044.4,977.8,401.6,746.5,943.8,1236.7,917.9,1060.4,824.8,743.6,1184.5,1564.8,1665.7,1445.9,1522.4,887.8,342.407,616.756,795.71,958.56,742.38,787.189,558.115,680.357,1248.346,1577.9,2088.3,1552.95,1760.329,1324.645
ir_tbp_1_dft-ime_1_dft-nme3_1_dft-iacn_1_dft-oh_1_smi1_1_s_1,2167.4,3543.3,5791.7,6001.0,3393.1,3105.1,1848.8,472.4,849.3,1066.7,1555.0,1446.1,1500.1,1533.8,868.4,1353.3,1834.7,2278.0,2187.1,2304.1,1704.8,392.978,679.867,894.018,1220.951,1125.447,1139.633,1046.906,813.188,1445.887,1798.218,2607.821,2468.907,2484.533,2448.656
