id,Z-0_FD_AB,Z-1_FD_AB,Z-2_FD_AB,Z-3_FD_AB,Z-4_FD_AB,Z-5_FD_AB,Z-6_FD_AB,I-0_FD_AB,I-1_FD_AB,I-2_FD_AB,I-3_FD_AB,I-4_FD_AB,I-5_FD_AB,I-6_FD_AB,T-0_FD_AB,T-1_FD_AB,T-2_FD_AB,T-3_FD_AB,T-4_FD_AB,T-5_FD_AB,T-6_FD_AB,S-0_FD_AB,S-1_FD_AB,S-2_FD_AB,S-3_FD_AB,S-4_FD_AB,S-5_FD_AB,S-6_FD_AB,chi-0_FD_AB,chi-1_FD_AB,chi-2_FD_AB,chi-3_FD_AB,chi-4_FD_AB,chi-5_FD_AB,chi-6_FD_AB
ir_tbp_1_dft-asme3_1_dft-ime_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,1988.6,3570.1,5161.6,4833.6,2964.7,1737.3,266.1,-36.4,-71.9,-112.4,-134.4,-155.3,-122.7,-48.9,365.6,438.1,673.6,624.6,669.7,756.3,122.1,-111.202,-224.993,-275.129,-458.021,-455.985,-519.668,-583.381,298.088,495.067,603.121,898.069,873.105,980.422,948.779
ir_tbp_1_dft-iz_1_dft-sime_1_dft-iacn_1_chloride_1_smi1_1_s_1,1690.6,2352.0,3563.4,5410.1,2160.5,1388.4,979.2,-31.4,-60.0,-81.6,-94.9,-110.5,-84.6,-52.8,340.6,420.0,548.4,559.1,429.5,509.4,457.2,-101.374,-208.676,-246.237,-290.87,-364.554,-318.304,-338.926,294.416,513.094,600.243,678.67,782.826,662.366,677.894
ir_tbp_1_dft-asme3_1_dft-oxaz_1_dft-co_1_dft-icn_1_smi1_1_s_1,1842.1,3422.5,4904.9,2523.4,1678.8,846.5,51.9,-32.9,-63.5,-99.1,-110.6,-109.2,-50.5,-11.1,279.1,374.5,539.9,354.4,349.8,159.5,-11.1,-84.967,-170.722,-240.21,-391.247,-303.22,-290.409,-111.433,231.503,392.738,527.88,748.033,594.29,587.871,180.077
ir_tbp_1_dft-phos_1_dft-phos_1_dft-co_1_dft-sh_1_smi1_1_s_1,1717.8,2689.7,3545.7,3296.8,1922.8,908.0,427.0,-37.2,-67.3,-93.3,-102.2,-87.2,-64.0,-35.0,226.8,328.7,416.7,305.8,254.8,200.0,133.0,-80.4,-135.834,-217.54,-249.364,-222.498,-200.643,-146.659,203.85,301.386,458.18,455.966,424.542,372.117,261.041
ir_tbp_1_dft-pph3_1_dft-oxaz_1_dft-co_1_chloride_1_smi1_1_s_1,2435.3,3658.9,5624.3,6969.2,6951.2,4949.3,2982.1,-63.7,-127.1,-171.7,-215.8,-266.8,-279.7,-230.9,482.3,712.9,998.3,1029.2,1203.2,1250.3,975.1,-158.988,-304.004,-448.539,-544.417,-645.095,-794.786,-841.565,406.272,686.566,997.731,1145.663,1368.595,1596.694,1531.285
ir_tbp_1_dft-iz_1_dft-phos_1_dft-iacn_1_dft-sh_1_smi1_1_s_1,1688.6,2560.4,3512.2,3693.0,1887.6,1023.8,596.3,-33.4,-61.6,-84.8,-93.0,-89.4,-65.2,-42.7,254.6,334.4,407.2,354.0,351.6,339.8,221.3,-85.706,-153.315,-210.065,-230.268,-245.63,-252.562,-231.608,236.464,363.825,463.105,464.472,501.4,500.618,429.742
ir_tbp_1_dft-iz_1_dft-oxaz_1_dft-co_1_iodide_1_smi1_1_s_1,1840.7,2690.7,3784.4,3624.2,1673.2,458.5,195.6,-31.3,-60.3,-70.6,-89.8,-63.8,-30.5,-11.4,244.7,335.7,400.4,267.2,200.2,158.5,60.6,-72.356,-145.151,-183.1,-217.273,-162.241,-126.301,-90.276,210.724,381.409,451.58,455.357,338.159,249.449,175.584
ir_tbp_1_dft-asme3_1_dft-py_1_dft-co_1_dft-icn_1_smi1_1_s_1,1857.7,3416.3,4758.0,2694.4,1971.8,1023.3,291.7,-35.3,-66.7,-102.0,-113.6,-107.2,-77.7,-23.3,270.7,371.3,558.0,366.4,333.8,207.3,66.7,-88.542,-166.135,-247.15,-400.337,-298.23,-290.827,-165.991,233.088,369.635,541.13,762.883,588.87,532.493,298.019
ir_tbp_1_dft-oxaz_1_dft-phos_1_dft-co_1_dft-itcn_1_smi1_1_s_1,1647.1,2525.0,3684.5,3014.1,1759.9,1259.3,671.3,-38.9,-64.0,-89.5,-105.9,-106.1,-78.7,-33.7,237.1,338.0,417.5,311.1,274.9,206.3,104.3,-85.607,-150.388,-218.303,-255.651,-246.863,-221.369,-144.214,219.013,358.502,484.597,492.009,481.357,429.601,282.836
ir_tbp_1_dft-pyz_1_dft-py_1_dft-iacn_1_dft-oh_1_smi1_1_s_1,2074.3,3521.2,3817.6,3374.1,1452.9,797.7,396.1,-40.7,-96.8,-133.4,-138.9,-110.1,-57.3,-26.9,343.3,539.2,670.6,563.1,444.9,266.7,132.1,-99.275,-215.679,-328.411,-376.09,-358.737,-276.342,-175.432,266.335,480.021,698.399,711.47,685.983,515.538,327.038
ir_tbp_1_dft-pph3_1_dft-oxaz_1_dft-co_1_bromide_1_smi1_1_s_1,2489.0,3874.4,5947.6,7561.6,7759.3,5596.1,3143.7,-64.0,-127.6,-172.4,-217.4,-268.7,-280.9,-231.3,482.0,712.4,997.6,1027.6,1201.3,1249.1,974.7,-158.723,-302.402,-445.998,-540.031,-638.936,-789.514,-840.327,405.397,683.608,993.432,1137.509,1357.654,1588.286,1529.103
ir_tbp_1_dft-iz_1_dft-iz_1_dft-co_1_dft-cn_1_smi1_1_s_1,1467.6,2206.3,2837.4,2310.7,1033.0,638.3,186.3,-29.4,-46.7,-63.6,-74.3,-71.0,-39.7,-11.7,198.6,301.3,338.4,243.7,193.0,128.3,60.3,-71.222,-117.783,-175.516,-193.818,-185.466,-140.472,-79.7,202.948,320.067,429.074,406.512,390.354,298.068,153.76
ir_tbp_1_dft-pph3_1_dft-nme3_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,2231.3,3832.6,6921.1,6410.8,7000.1,5528.5,3505.4,-63.7,-121.4,-179.9,-237.2,-298.9,-324.5,-310.6,500.3,736.6,1140.1,1124.8,1444.1,1592.5,1120.4,-174.395,-322.495,-471.515,-708.536,-781.087,-1043.647,-1202.804,436.735,701.435,1046.125,1403.734,1614.983,2102.273,2090.566
ir_tbp_1_dft-pme3_1_dft-py_1_dft-iacn_1_dft-icn_1_smi1_1_s_1,1714.0,2846.0,4814.0,3200.9,2095.8,1456.7,493.5,-38.0,-70.0,-109.0,-126.1,-139.2,-109.3,-46.5,310.0,392.0,587.0,443.9,493.8,451.7,124.5,-102.919,-196.545,-263.384,-420.166,-362.481,-410.75,-360.406,264.761,425.475,563.626,794.744,675.849,765.97,623.924
